department,focus_group_name,pain_point,expectations
DOCE,Housing Inspectors,,(to keep) I think IPS is a good system that is user friendly
DOCE,Housing Inspectors,Actions in IPS are slow to select,
DOCE,Housing Inspectors,Selection same actions multiple times,
DOCE,Housing Inspectors,Organize cases based on type of cases,
DOCE,Housing Inspectors,Checking lead map frequently,
DOCE,Housing Inspectors,,Make it so it’s to a scroll to choose and action
DOCE,Housing Inspectors,,Make an action that saves clicks
DOCE,Housing Inspectors,,Make a case label for drive by/calls/waiting for owner
DOCE,Housing Inspectors,,Case could tell you when you open it if it is in high risk area
DOCE,Housing Inspectors,Action are slow,
DOCE,Housing Inspectors,Allow for pictures to be uploaded a specific way,
DOCE,Housing Inspectors,No access when in the field besides both before you left,
DOCE,Housing Inspectors,,(to keep) Chronological notes/actions in case
DOCE,Housing Inspectors,,"If it could get water /lead information, it would save a lot of time. Only a couple of people have access to AS400, so it is annoying"
DOCE,Housing Inspectors,When others are entering violations at the same time,
DOCE,Housing Inspectors,No shortcut for common actions (i.e. code staff notes),
DOCE,Housing Inspectors,Addresses aren’t always updated,
DOCE,Housing Inspectors,Too many actions,
DOCE,Housing Inspectors,,Batch violation numbers when saved
DOCE,Housing Inspectors,,Ability to add custom shortcuts
DOCE,Housing Inspectors,,Create a global address book
DOCE,Housing Inspectors,,Eliminate unneeded actions i.e. (BAA Ticket Rounds)
DOCE,Housing Inspectors,"The general flow of IPS, layout",
DOCE,Housing Inspectors,It crashes a lot,
DOCE,Housing Inspectors,Its slow to open cases,
DOCE,Housing Inspectors,,(to keep) Separation of cases per property
DOCE,Housing Inspectors,,Stats
DOCE,Housing Inspectors,,Cases without inspection date
DOCE,Housing Inspectors,,Cases set to “needs review”
DOCE,Housing Inspectors,IPS will be slow or shutdown; reboot needed,
DOCE,Housing Inspectors,"IPS does not have a general scroll option for all cases, need to go into/out of multiple open/closed cases to get accurate picture of case/property history and active cases",
DOCE,Housing Inspectors,“Trim down” the drop downs related to assigned inspector/type of case,
DOCE,Housing Inspectors,,(IT or IPS focus)
DOCE,Housing Inspectors,,(to keep) It's pretty good for me
DOCE,Housing Inspectors,,(to keep) Information update across cases
DOCE,Housing Inspectors,,(to keep) Laptop use would be great in field
DOCE,Housing Inspectors,,Bring back laptops so we can update cases in field
DOCE,Housing Inspectors,,Issues connecting to IPS remotely
DOCE,Office Managers,Updating ownership will sometimes make IPS crash,
DOCE,Office Managers,Sometimes Image Mate doesn’t have the best information and overrides correct ownership information already in IPS,
DOCE,Office Managers,Opening cases too quickly and more than one at a time in IPS will often make it crash,
DOCE,Office Managers,,"I can complete my function by only opening one case at a time, but it slows me down"
DOCE,Office Managers,Everything written in the section above which I realize fits better here,
DOCE,Office Managers,Ownership – too many duplicates,
DOCE,Office Managers,,"(to keep) The ability to click within a case, directs to Image Mate button is very helpful"
DOCE,Office Managers,,"The way ownership and previous ownership in relation in relation to “agents” “business contact”, etc. With a case (not parcel) is often messed up:"
DOCE,Office Managers,,"Because if sometimes doesn’t take an update,"
DOCE,Office Managers,,Can't tell who is connected to who
DOCE,Office Managers,Sanitation notice bar in print queue crashes when clicked,
DOCE,Office Managers,Address updating – having to click on contact to view updated address,
DOCE,Office Managers,,Remove tab because it has nothing to do with us
DOCE,Office Managers,,Make it still “checkable” but have address remain updated
DOCE,Office Managers,IPS crashing if open/used too long,
DOCE,Office Managers,Address range – knowing assessed address,
DOCE,Office Managers,Assessment address doesn’t always match the IPS address,
DOCE,Office Managers,,(to keep) Print queue – organization of notices
DOCE,Office Managers,,(to keep) Parcel information – showing information
DOCE,Office Managers,,(to keep) Complaint search – search by violation numbers?
DOCE,Office Managers,Property manager/agent in IPS “Parcel” does not always transfer over when opening a new case,
DOCE,Office Managers,“Refer to BAA” action in the case will not always refer the case to BAA,
DOCE,Office Managers,,Ensure this information can be automatically put into new cases so it is not forgotten
DOCE,Office Managers,,"Making sure “department”, “status” or either status in IPS are not holding up BAA referrals."
DOCE,Office Managers,You cannot search by violation number,
DOCE,Office Managers,You cannot search an address by the letter number in the address (eg. 205-207 XXX st would need to be searched as 205 & notes 207),
DOCE,Office Managers,The address book can be floated with duplicate contacts with the same information,
DOCE,Office Managers,,(to keep) Search by complaint number
DOCE,Office Managers,,(to keep) Address book & searching by property owner
DOCE,Office Managers,,Water & Tax records for periodic inspections
DOCE,Permit/Commercial/Electrical Inspectors,IPS buffers/breaks down,
DOCE,Permit/Commercial/Electrical Inspectors,Searching for information,
DOCE,Permit/Commercial/Electrical Inspectors,,Consolidate to functioning system
DOCE,Permit/Commercial/Electrical Inspectors,"Inability to document, etc",
DOCE,Permit/Commercial/Electrical Inspectors,,(to keep) Ability to keep track of kick out inspections
DOCE,Permit/Commercial/Electrical Inspectors,,In field timely acces: to information and modification of cases
DOCE,Permit/Commercial/Electrical Inspectors,When you schedule an inspection on camino it doesn’t show up on outlook,
DOCE,Permit/Commercial/Electrical Inspectors,Better training on processes in pace,
DOCE,Permit/Commercial/Electrical Inspectors,,Have camino and outlook talk to each other
DOCE,Permit/Commercial/Electrical Inspectors,Cannot create new dates in camino to check/call contractors for updates,
